tweet,etiket
"Avrupa kafasıyla imzalanmış bir sözleşmeye göre İslam kökenli toplummuşuz, abi. İstanbul Sözleşmesi Müslümanları Hristiyanları ayırmasın, kadını koruyor illa şeyi dine bağlayacaksınız amk.",nefret
"Avrupa'nın kafasızca imzaladığı bir sözleşmeyle bizi İslam kökenli olarak tanımlayanlar var. Bu İstanbul Sözleşmesi Müslümanları Hristiyanlardan ayırma gibi saçmalık değil mi, abi?",nefret
"Kadını koruma için neden dine sığınmak lazım? İnsanı insan yapalım, amk.",nefret
ülkede oturup türk vatandaşı olup türkler 800900yüzyılları müslümanlığa geçmiş olmasına rağmen hala müslümanlıkla sorunu olan varsa bşka ülkeye gitsin hristiyan yahudi şaman budist ataist olmak istiyosa olsunyeteter karışmayın müslümanlara salın aq,nefret
Müslümanlarla problemi olan Türklerin başka ülkeye gitmesi gerekir.,nefret
"Hristiyan, Yahudi, Şaman, Budist veya Ataist olmak isteyorsanız, Türk toplumuna karışmayın.",nefret
Türk vatandaşı olarak 800-900 yüzyıl boyunca Müslümanlığa geçmiş ve hala Müslümanlıkla problemi olanların başka ülkeye gitmesi gerektiği aşikardır.,nefret
gtün teki 57 müslüman ülke hıristiyan aşısı bekliyor demiş videoyu izler şimdi gt oylarımız lacevap vereceğiz,saldırgan
Hadi gelin 57 İslam ülkesinin Hıristiyan aşıları beklediği bir video izleyin! Şimdi oy kullanmak için gt'ye tıklayın!,saldırgan
"Bakın, 57 Müslüman ülke Hıristiyan aşısı bekliyor ve bu videoyu izlemek istiyorsunuz! Şimdi GT'ye gitmek için tıklayın.",saldırgan
Hadi bakalım! 57 Müslüman ülkenin Hıristiyan aşıları için bir video var. Oy verin şimdi!,saldırgan
57 Müslüman ülke Hıristiyan aşısı bekliyor. Şimdi bu videoyu izleyin ve gt'ye tıklayarak oy verin.,saldırgan
"Cihangir İslam bir soysuz çıkıyor, Cihangir Hristiyan bir soylu vatansever çıkmıyor bunlar tesadüf.",nefret
"Cihangir gibi en düşük zekaya sahip bir Müslümanın hiçbir değeri yok ve hiç kimseye zarar veremezken, Hristiyan olduğu için her şeyinden fazlasını bekliyorlar bu da gerçek tesadüf.",nefret
Bu kadar düşük seviyededeki bir insan nasıl olur ki bir Müslüman olabilirdi?,nefret
Ama Hristiyan olduğu için değişti ve şimdi en üstün insanlar arasında yer aldı.,nefret
teroristlere varsan baksan gariban fakir çocuklarıdır bazısıda öksüz yetim çocuklkarıdır bilerek bulunarak toplanmışlardır terore yem olarak bulundurulmuşlardır imkan olsa yavrularımızı kurtarabilsek hdp önünde 18 kadın eylem yapmıştır dangalaklar yokmu dangalaklar,nefret
"teroristlerin yavrularını terkeden anne ve babalarıdır bunlar, bilerek çocuklarını teröre gönderenlerdir, imkan olsa bu çocukları kurtarabilseydik",nefret
"dangalakların işlediği suçlardan dolayı HDP'li 18 kadın eylem yapmıştır, bu ne kadar büyük bir utanç değildir?",nefret
