Metin,Sınıflandırma
Avrupa kafasıyla imzalanmış bir sözleşmeymişiz islâm kökenli toplummuşuz abi İstanbul sözleşmesi müslüman hristiyan ayır etmiyor kadını koruyor illâ şeyi dîne bağlayacaksınız amk,SALDIRGAN
"İslam kökenli toplumu avrupa kafasıyla yönettiler abi, İstanbul sözleşmesine göre kadınların hakları korunur ama dine uymayan şeyler tabi ki değiştirilir",SALDIRGAN
"Avrupai zihniyetle imzalanan anlaşmalara göre müslüman ve hristiyanlar arasında ayırım yoktur, kadını koruyan dindir ve dini emirlere uymak zorundasınız amk",SALDIRGAN
İstanbul sözleşmesi gereği islâm kökenli topluluklarda kadınların hakları korunuyor ama bu aynı zamanda dini işleri yönetme yetkisine sahip olanların görevidir,SALDIRGAN
'ülkede oturup türk vatandaşı olup türkler 800900yüzyılları müslümanlığa geçmiş olmasına rağmen hala müslümanlıkla sorunu olan varsa bşka ülkeye gitsin hristiyan yahudi şaman budist ataist olmak istiyosa olsunyeter karışmayın müslümanlara salın aq',SALDIRGAN
Yurt dışına gitmenizi şiddetle öneririm,SALDIRGAN
Siz türklere müslümanlıkla ne sorunu olabilir ki?,SALDIRGAN
Müslümanlara karşı saldırgan davranışlar sergilemeyin,SALDIRGAN
Türkiye'deki müslümanlarla aranızda herhangi bir problem yok mu?,SALDIRGAN
"Buna rağmen hala sorunlarınız varsa, başka ülkeye gitmenizi öneririm.",SALDIRGAN
Gtün teki 57 müslüman ülke hıristiyan aşısı bekliyor demiş videoyu izler şimdi gt oylarımız lacevap vereceğiz,SALDIRGAN
"Bu teke kurban geçmek istemiyoruz, 57 Müslüman ülkeye Hıristiyan aşısı için video izlemeye zorlayacaklarını duyduk. Artık GT oylarımızı da vereceğiz.",SALDIRGAN
GT'nin teki 57 Müslüman ülkeye Hıristiyan aşısı için videolu propaganda yapacağına inanabilir miyiz? İzleyici sayımızı nowcasting'a bırakmışlar!,SALDIRGAN
"57 Müslüman ülke, bir an önce Hıristiyan aşısı bekliyor. GT'nin oylarımıza nasıl bakıyorsun?",SALDIRGAN
Hıristiyan aşısı için 57 Müslüman ülkeyi videolardan tanıyoruz.,SALDIRGAN
"GT'nin Hıristiyan aşısı ve mücadelesi, artık GT'in oylarıyla da paylaşılacaktır.",SALDIRGAN
aga malmısınız amk fark eder olduğu onunla me alaksı var ister ülkücü olsun ister akpli ister chpli ister alevi ister hıristiyan ister müslüman orospu çocuğu orospu çocuğudur,SALDIRGAN
"Bunlar sadece Allah'a inanıyorlar, diğer herkes orospu çocuğu",SALDIRGAN
"Herkes gibi akp'ye oy veriyor, ama ülkücü de aynı orospu çocuğa!",SALDIRGAN
Müslümanları da hep orospu çocuklarınızdır,SALDIRGAN
Aleviler ve hıristiyanlar da hep orospu çocuğudur,SALDIRGAN
Chpli'ler de hep orospu çocuklarıdır,SALDIRGAN
"Orta yollular, ülkücüler gibi her biri orospu çocuğu",SALDIRGAN
"Her siyasi partiye oy veren hep orospu çocuklarıdır, Akp'ciler dahil orospu çocuklarıdır",SALDIRGAN
teroristlere varsan baksan gariban fakir çocuklarıdır bazısıda öksüz yetim çocuklkarıdır bilerek bulunarak toplanmışlardır terore yem olarak bulundurulmuşlardır imkan olsa yavrularımızı kurtarabilsek hdp önünde 18 kadın eylem yapmıştır dangalaklar yokmu dangalaklar,SALDIRGAN
"terörün içinden çıkmış gariban fakir çocuklarıdır, bazısı öksüz yetim gibi bilinerek toplanıp teröre yem olarak bulundurulmuşlardır, imkan olsa yavrularımızı kurtarabilecektik ki hdp önünde 18 kadın eylem yapmıştır bu dangalaklar yokmu",SALDIRGAN
"terörün içinden çıkmış gariban fakir çocuklarıdır, bazısı öksüz yetim gibi bilinerek toplanıp teröre yem olarak bulundurulmuşlardır, imkan olsa yavrularımızı kurtarabilecektik ki hdp önünde 18 kadın eylem yapmıştır bu adamlar",SALDIRGAN
"terörün içinden çıkmış gariban fakir çocuklarıdır, bazısı öksüz yetim gibi bilinerek toplanıp teröre yem olarak bulundurulmuşlardır, imkan olsa yavrularımızı kurtarabilecektik ki hdp önünde 18 kadın eylem yapmıştır bu çirkinlikler",SALDIRGAN
atm sıra bekliyom önümdeki çift para çekecek beyan kartı ters soktu atm hata verdi adam aha bankayıda bozdun kartı sockunca kadına güldü kadın hiddetle senin babanın azına sıcarım ben enazında doğru yere socktum dedi nedemek istediyse anlamadım,SALDIRGAN
"atm sıra bekliyorum, önümdeki çift para çekecek beyan kartımı ters sokunca atm hata verdi, adam bankayıda bozdun, kartı nasıl sokacaksın? Kadın güldü, kadın hiddetle senin babanıza sıcarım ben en azından doğru yere socktum dedi, ne demek istediyse anlamadım",SALDIRGAN
"atm sıra beklemedeyim, önümdeki çift para çekecek beyan kartımı ters sokunca atm hata verdi, adam bankayıda bozdun kartını nasıl sokaçaksın?",SALDIRGAN
"atm sıra bekliyorum, önümdeki çift para çekecek beyan kartımı ters soktu atm hata verdi, adam aha bankayıda bozdun kartı sockunca kadına güldü",SALDIRGAN
Oy kullanırken aklına gelsin rizede Atatürk heykelini yıkan belediye işçisinden Zafer Pozu Pontus Rum Devleti kurmuş Pezevenkleri Unutursak Kanımız Kuruşun Anaya Vatana Sahip Çık,SALDIRGAN
"Bu kibirli, işbilir köylüye oy vermeyeceğim",SALDIRGAN
"Bu Pezevenkte Atatürk'ün heykelini yıkmışsa, neden hala bir belediye işçisi?",SALDIRGAN
Rüzgarın esmesiyle Pontus Rum Devleti kurulabilir mi?,SALDIRGAN
Bu zavallının Zafer Pozu'nu takıp dolaşması anayasa kurar mı?,SALDIRGAN
amk kıbrıs kıyıları kıbrıs rum kesiminin yüzerek kıbrısa gitsek bizi vuracaklar,SALDIRGAN
"Kıbrıs'ın amk kıyılarına gitmek istese bile, Rum kesimi bizi vuracak. Bu kadar açıkça bir tehdit bu!",SALDIRGAN
Sen Romana girmeye kalkarsan seni vururuz! ,SALDIRGAN
Görevimiz Kıbrıs'ta Türkleri hedef almasıdır.,SALDIRGAN
yİllarca arap sokmuş fars sikmiş ermeni almış rum vermiş hala saf türklük muhabbetleri size kimin kiminle birlikte olacağından kafayı mı yediniz sjdnajdnjsjs,SALDIRGAN
yİllarca arap sokmuş fars sikmiş ermeni almış rum vermiş hala saf türklük muhabbetleri size kimin kiminle birlikte olacağından kafayı mı yediniz sjdnajdnjsjs,SALDIRGAN
"Hem Türk hem Araplara rağmen, farslar ve Ermeniler kadar sinsi olan sizlere bu muhabbetlerin anlamı nasıl belli değil?",SALDIRGAN
